Dataset Name,Classifier,Accuracy Train,Accuracy Test,F1 Macro Train,F1 Macro Test,F1 Micro Train,F1 Micro Test
adult,RF,0.8689013689013689,0.8554611526256526,0.796579727889448,0.7735663058784719,0.8689013689013689,0.8554611526256526
adult,DNN,0.8116883116883117,0.8105230832224384,0.6491162191752857,0.6448702189021331,0.8116883116883117,0.8105230832224384
german_credit,RF,0.8442857142857143,0.7533333333333333,0.8248839253541912,0.7238668590477138,0.8442857142857143,0.7533333333333333
german_credit,DNN,0.7585714285714286,0.7133333333333334,0.6388789679814159,0.5575828246107415,0.7585714285714286,0.7133333333333334
fico,RF,0.7765332604835405,0.7208413001912046,0.774806904653391,0.7181612827024154,0.7765332604835405,0.7208413001912046
fico,DNN,0.702909438601284,0.695666029318037,0.6961744561867793,0.6888333172910839,0.702909438601284,0.695666029318037
compas,RF,0.6712220241632006,0.5907621247113164,0.6320957850721834,0.5468441155396494,0.6712220241632006,0.5907621247113164
compas,DNN,0.6242820360467419,0.620323325635104,0.536998340402579,0.5430411381487529,0.6242820360467419,0.620323325635104
