Dataset Name,Classifier,Accuracy Train,Accuracy Test,F1 Macro Train,F1 Macro Test,F1 Micro Train,F1 Micro Test
adult,RF,0.8684626184626184,0.8585320913092436,0.8036904251614884,0.7867037307372685,0.8684626184626185,0.8585320913092436
adult,DNN,0.8423130923130923,0.8396970007165524,0.753110047708448,0.7488702797490701,0.8423130923130923,0.8396970007165524
german_credit,RF,0.8185714285714286,0.75,0.7980789104892214,0.7208124976734376,0.8185714285714286,0.75
german_credit,DNN,0.7114285714285714,0.6966666666666667,0.4593065051469127,0.4106090373280943,0.7114285714285714,0.6966666666666667
fico,RF,0.7953831443791832,0.7211599745060548,0.7943415920308445,0.7192175457358647,0.7953831443791832,0.7211599745060548
fico,DNN,0.6984018576697173,0.688655194391332,0.6929331943733992,0.6829484530346688,0.6984018576697173,0.688655194391332
compas,RF,0.6876609229550406,0.5889145496535797,0.6529304949655176,0.5450842297576558,0.6876609229550406,0.5889145496535797
compas,DNN,0.6090314913844326,0.5935334872979214,0.4882082226842828,0.4837211018525127,0.6090314913844326,0.5935334872979214
