dataset,classifier,accuracy_train,accuracy_test,f1_macro_train,f1_macro_test,f1_micro_train,f1_micro_test
adult,RF,0.890970515970516,0.8547520343927529,0.8343363981862861,0.7819704165044765,0.890970515970516,0.8547520343927529
adult,DNN,0.8461686117936118,0.8393981268232765,0.7746960199329767,0.7688008919185425,0.8461686117936118,0.8393981268232765
german_credit,RF,0.80125,0.73,0.7806802017328334,0.694708276797829,0.80125,0.73
german_credit,DNN,0.6975,0.71,0.4108983799705449,0.4152046783625731,0.6975,0.71
fico,RF,0.7653878331540576,0.7246653919694073,0.7639983748721613,0.7229207883910167,0.7653878331540576,0.7246653919694073
fico,DNN,0.6960678857416039,0.7165391969407265,0.6900274341837811,0.7117012853521815,0.6960678857416039,0.7165391969407265
compas,RF,0.6823774042626928,0.6160776160776161,0.6474169723545361,0.5588432122958977,0.6823774042626928,0.6160776160776161
compas,DNN,0.6203430947842662,0.6299376299376299,0.5106324292751184,0.5187816389676673,0.6203430947842662,0.6299376299376299
