Number of Required CFS,Size,Dissimilarity Distance,Dissimilarity Count,Actionability,Diversity Distance,Diversity Count,Runtime
1,1.0,3.9761847114205535,0.8,0.0,0.0,0.0,4294.672588257999
2,1.0,3.4497726448742565,0.825,0.0,1.1724513893191677,0.16393442622950818,4294.672588257999
3,1.0,3.588017655472798,0.8333333333333334,0.0,1.539735346919885,0.21493624772313297,4294.672588257999
4,1.0,3.6528022502722317,0.825,0.0,1.9520164025337055,0.22131147540983606,4294.672588257999
5,1.0,3.4500518374139206,0.89,0.0,1.912322019371668,0.26491803278688525,4294.672588257999
6,1.0,3.344805367100394,0.925,0.0,2.1014411102414474,0.28688524590163933,4294.672588257999
7,1.0,3.0456390834720977,0.9285714285714286,0.0,2.456492849432995,0.29842756774841084,4294.672588257999
8,1.0,2.881141582467077,0.95,0.0,2.6989076770190796,0.3099385245901639,4294.672588257999
9,1.0,2.9072965880240393,0.9555555555555555,0.0,2.670473352686739,0.3185589961546246,4294.672588257999
10,1.0,2.8694591059526995,0.9650000000000001,0.0,2.634081343431106,0.32524590163934425,4294.672588257999
11,1.0,2.8221692614282317,0.9727272727272727,0.0,2.7584120398599454,0.3259720905026419,4294.672588257999
12,1.0,2.9784391443086276,0.975,0.0,2.8091550564710395,0.3312841530054645,4294.672588257999
13,1.0,3.1123534975392744,0.973076923076923,0.0,2.8331683571562447,0.3311669415074207,4294.672588257999
14,1.0,3.19496086568288,0.9821428571428571,0.0,2.8179747755245135,0.33104717296754765,4294.672588257999
15,1.0,3.1024333661183996,0.9933333333333334,0.0,2.8286767575899128,0.3344262295081967,4294.672588257999
16,1.0,3.1048758128556715,0.996875,0.0,2.8196485690794963,0.33837090163934425,4294.672588257999
17,1.0,3.044099214901954,1.0029411764705882,0.0,2.866837733239367,0.34000794146009417,4294.672588257999
18,1.0,3.113614075737341,1.0,0.0,2.8603011265413794,0.3420360250961344,4294.672588257999
19,1.0,3.099204925909557,1.0026315789473685,0.0,2.9082427135167204,0.34258208074111074,4294.672588257999
20,1.0,3.0833875521598575,0.9949999999999999,0.0,2.936403483705389,0.3419672131147541,4294.672588257999
