Number of Required CFS,Runtime
1,12.759967582000172
2,12.010217874999398
3,18.891373366000153
4,25.12502436700015
5,31.9543143410001
6,39.58636953200039
7,48.71907990299951
8,64.33853023100073
9,68.52885121899999
10,81.69212484899981
11,110.99993848299982
12,110.6826737729998
13,137.98924843700024
14,141.09239319399967
15,157.50689854200027
16,155.13130880599965
17,174.91552452200085
18,186.89515758400012
19,192.43389508200016
20,212.6322185220015
