Number of Required CFS,Runtime
1,0.7763785560018732
2,23.938974398002756
3,24.607507881002675
4,1.0163108610031486
5,1.1163798939996923
6,1.3357225420004397
7,27.028496029000962
8,27.85488133800027
9,28.431357724999543
10,29.108055215001514
11,29.93277163300081
12,30.30497223400016
13,31.334495264996804
14,31.88630572600232
15,32.8247932689992
16,32.95849701399857
17,33.28676277700288
18,34.92055957000048
19,34.54615046600156
20,35.454414057003305
