dataset,classifier,accuracy_train,accuracy_test,f1_macro_train,f1_macro_test,f1_micro_train,f1_micro_test
adult,RF,0.888030888030888,0.8636503224485618,0.8363292227228043,0.7984247761750045,0.888030888030888,0.8636503224485618
adult,DNN,0.8352053352053352,0.8324291124987204,0.7294459587603741,0.7233597840968644,0.8352053352053352,0.8324291124987204
german_credit,RF,0.9842857142857143,0.78,0.9812154345699433,0.7251679529176615,0.9842857142857143,0.78
german_credit,DNN,0.7185714285714285,0.6933333333333334,0.489333022267154,0.42956349206349204,0.7185714285714285,0.6933333333333334
fico,RF,0.7850020489004235,0.7211599745060548,0.7840226463279449,0.7192770265192856,0.7850020489004235,0.7211599745060548
fico,DNN,0.7037289987706598,0.6998087954110899,0.7004669484636369,0.6966940011820331,0.7037289987706598,0.6998087954110899
compas,RF,0.7371756783521489,0.5963048498845266,0.7078728975795806,0.5482888389001079,0.7371756783521489,0.5963048498845266
compas,DNN,0.6161616161616161,0.6157043879907621,0.5387803281046178,0.5536015754178981,0.6161616161616161,0.6157043879907621
