num_required_cfs,Size,Dissimilarity_distance,Dissimilarity_count,Actionability,Diversity_distance,Diversity_count
1,1.0,11448.458333333334,0.25,1.0,0.0,0.0
2,1.0,5784.8125,0.3333333333333333,1.0,2537.75,0.20833333333333334
3,1.0,4110.458333333333,0.2222222222222222,1.0,2976.6944444444443,0.2222222222222222
4,1.0,4732.708333333333,0.2916666666666667,1.0,3.21875,0.17708333333333334
5,1.0,1883.25,0.25,1.0,0.18,0.12
6,1.0,2916.8125,0.3194444444444445,1.0,885.8657407407408,0.18055555555555555
7,1.0,6850.119047619048,0.2857142857142857,1.0,3650.0289115646256,0.2585034013605442
8,1.0,4227.364583333334,0.23958333333333334,1.0,1854.1901041666667,0.18229166666666666
9,1.0,2917.9490740740744,0.26851851851851855,1.0,595.6280864197531,0.23148148148148148
10,1.0,9301.504166666668,0.24166666666666667,1.0,1.4379166666666672,0.13916666666666666
11,1.0,5535.064393939394,0.25757575757575757,1.0,3080.114325068871,0.22727272727272727
12,1.0,4529.809027777777,0.2986111111111111,1.0,1873.6099537037035,0.23726851851851852
13,1.0,3481.897435897437,0.28205128205128205,1.0,1774.967702169625,0.15927021696252466
14,1.0,3431.306547619048,0.25,1.0,1275.875425170068,0.14965986394557823
15,1.0,6080.527777777777,0.2111111111111111,1.0,2312.416111111111,0.22037037037037038
16,1.0,7871.8125,0.2604166666666667,1.0,2878.812662760417,0.2835286458333333
17,1.0,4617.490196078432,0.28921568627450983,1.0,1990.9178200692043,0.2577854671280277
18,1.0,3197.601851851852,0.2824074074074074,1.0,1412.8020833333333,0.2368827160493827
19,1.0,3242.320175438597,0.27631578947368424,1.0,1374.630540166205,0.27493074792243766
20,1.0,4769.418750000001,0.26666666666666666,1.0,1679.770833333333,0.23375
