Number of Required CFS,Runtime
1,12.363732151001386
2,24.286817702000917
3,35.04765718999988
4,84.10649741500129
5,47.1092941400002
6,69.23460822599918
7,76.46303611099938
8,95.70490437499939
9,96.80600125400088
10,109.33227684500162
11,150.61466894099976
12,138.59044463200007
13,147.37060519200168
14,162.19764723499975
15,204.0035154010002
16,200.63082229599968
17,216.39804949399877
18,234.27511717200105
19,290.0015089799999
20,2694.3241534900008
