num_required_cfs,Size,Dissimilarity_distance,Dissimilarity_count,Actionability,Diversity_distance,Diversity_count
1,1.0,32.04139748614677,0.6,1.0,0.0,0.0
2,0.5,101.76584673604542,0.4,0.5,0.0,0.0
3,0.6666666666666666,5.507913231517772,0.55,0.6666666666666666,4.665056088660629,0.14705882352941177
4,0.75,57.47265396224716,0.36666666666666664,0.75,36.611794386628816,0.16993464052287582
5,1.0,37.06486281929991,0.4,1.0,32.78994242465198,0.2164705882352941
6,1.0,24.209809884218583,0.38333333333333336,1.0,29.316833355858893,0.2222222222222222
7,0.8571428571428571,38.672473757715004,0.38333333333333336,0.8571428571428571,33.37511825922422,0.23202614379084968
8,0.75,23.563208992206157,0.4166666666666667,0.75,31.308802240543017,0.26143790849673204
9,0.6666666666666666,67.73917871784475,0.38333333333333336,0.6666666666666666,35.518823114234664,0.23202614379084968
10,0.8,54.57214826327882,0.3625,0.8,26.545608359237733,0.20955882352941177
11,0.6363636363636364,49.89173440426312,0.38571428571428573,0.6363636363636364,27.080708645128546,0.22809123649459784
12,0.6666666666666666,52.218828557913234,0.4125,0.6666666666666666,37.54138439316124,0.25
13,0.6923076923076923,48.85305371596762,0.4111111111111111,0.6923076923076923,23.14316415798598,0.23674655047204066
14,0.7142857142857143,53.56693336937425,0.39,0.7142857142857143,26.334993377483446,0.2376470588235294
15,0.4666666666666667,45.67890062363639,0.35714285714285715,0.4666666666666667,37.702032541628625,0.2064825930372149
16,0.625,47.39917556426545,0.42000000000000004,0.625,38.44180835248006,0.2388235294117647
17,0.6470588235294118,41.74975488088071,0.43636363636363634,0.6470588235294118,32.21786281148111,0.2547399124939232
18,0.7222222222222222,67.68888415274412,0.36153846153846153,0.7222222222222222,39.599123502216436,0.2206752523494605
19,0.631578947368421,59.73522210208588,0.4083333333333333,0.631578947368421,42.26605903950984,0.2508169934640523
20,0.65,45.143399835736645,0.3923076923076923,0.65,30.790400749821462,0.2422554820744866
