group1,group2,meandiff,p-adj,lower,upper,reject
AIDE,DICE_genetic,0.0177,0.7514,-0.0412,0.0766,False
AIDE,DICE_gradient,0.0915,0.0012,0.0326,0.1504,True
DICE_genetic,DICE_gradient,0.0739,0.0105,0.015,0.1328,True
