group1,group2,meandiff,p-adj,lower,upper,reject
AIDE,DICE_genetic,0.2341,0.6864,-0.445,0.9131,False
AIDE,DICE_gradient,0.7447,0.0284,0.0657,1.4237,True
DICE_genetic,DICE_gradient,0.5107,0.1755,-0.1683,1.1897,False
