group1,group2,meandiff,p-adj,lower,upper,reject
AIDE,DICE_genetic,-0.0329,0.8734,-0.1897,0.1238,False
AIDE,DICE_gradient,-0.1219,0.1633,-0.2794,0.0356,False
DICE_genetic,DICE_gradient,-0.089,0.4235,-0.2567,0.0787,False
