group1,group2,meandiff,p-adj,lower,upper,reject
AIDE,DICE_genetic,-0.0061,0.3439,-0.0165,0.0043,False
AIDE,DICE_gradient,-0.0011,0.9628,-0.0116,0.0093,False
DICE_genetic,DICE_gradient,0.005,0.4906,-0.0055,0.0154,False
