group1,group2,meandiff,p-adj,lower,upper,reject
AIDE,DICE_genetic,-0.0277,0.0211,-0.0518,-0.0035,True
AIDE,DICE_gradient,0.0,1.0,-0.0242,0.0242,False
DICE_genetic,DICE_gradient,0.0277,0.0211,0.0035,0.0518,True
