group1,group2,meandiff,p-adj,lower,upper,reject
AIDE,DICE_genetic,-0.4335,0.0,-0.4661,-0.4008,True
AIDE,DICE_gradient,-0.0215,0.2618,-0.0541,0.0112,False
DICE_genetic,DICE_gradient,0.412,0.0,0.3794,0.4447,True
