group1,group2,meandiff,p-adj,lower,upper,reject
AIDE,DICE_genetic,0.0169,0.7572,-0.0402,0.074,False
AIDE,DICE_gradient,-0.0102,0.9028,-0.0673,0.0469,False
DICE_genetic,DICE_gradient,-0.0271,0.4916,-0.0842,0.03,False
